MSSV,HoTenSV,GioiTinh,MaLop,Email,DoB,TrangThai,CCCD,SDT
20230201,BÙI VIỆT ANH,Nam,IT-EP-K68-04,anh.bv230201@sis.hust.edu.vn,2005-11-10,1,380517427232,0915133135
20230202,HÀ NGỌC ANH,Nu,IT-EP-K68-04,anh.hn230202@sis.hust.edu.vn,2005-11-14,1,615104500777,0962152848
20230203,LÊ QUANG ANH,Nam,IT-EP-K68-04,anh.lq230203@sis.hust.edu.vn,2005-11-25,1,262328946275,0944705931
20230208,NGUYỄN THỊ NGỌC ANH,Nu,IT-EP-K68-04,anh.ntn230208@sis.hust.edu.vn,2005-04-12,1,448309748851,0990037084
20230211,TRẦN TUẤN ANH,Nam,IT-EP-K68-05,anh.tt230211@sis.hust.edu.vn,2005-10-04,1,156924988289,0908351244
20230212,VŨ ĐỨC ANH,Nam,IT-EP-K68-05,anh.vd230212@sis.hust.edu.vn,2005-01-30,1,946787314439,0948339925
20230213,VŨ VĂN THẾ ANH,Nam,IT-EP-K68-05,anh.vvt230213@sis.hust.edu.vn,2005-02-25,1,576634356357,0943297405
20230220,BÙI MINH CƯỜNG,Nam,IT-EP-K68-04,cuong.bm230220@sis.hust.edu.vn,2005-12-09,1,434967217440,0987591396
20230221,ĐÀO HUỲNH DIỆN,Nam,IT-EP-K68-04,dien.dh230221@sis.hust.edu.vn,2005-06-12,1,074668200756,0974559914
20230222,CHU BẠCH DIỆP,Nu,IT-EP-K68-04,diep.cb230222@sis.hust.edu.vn,2005-12-27,1,503991134002,0928315827
20230224,NGUYỄN CHÍ DŨNG,Nam,IT-EP-K68-04,dung.nc230224@sis.hust.edu.vn,2005-03-17,1,903818015850,0966961527
20230225,NGUYỄN TRƯỜNG GIANG,Nam,IT-EP-K68-04,giang.nt230225@sis.hust.edu.vn,2004-03-14,1,636622371744,0917426605
20230226,TRẦN THỊ HƯƠNG GIANG,Nu,IT-EP-K68-05,giang.tth230226@sis.hust.edu.vn,2005-04-12,1,961463197098,0928451784
20230227,ĐẶNG THU HÀ,Nu,IT-EP-K68-04,ha.dt230227@sis.hust.edu.vn,2005-07-31,1,538199675770,0983744486
20230228,HOÀNG THANH HÀ,Nam,IT-EP-K68-04,ha.ht230228@sis.hust.edu.vn,2005-11-02,1,572625342358,0935079213
20230230,TRỊNH HOÀNG HẢI,Nam,IT-EP-K68-05,hai.th230230@sis.hust.edu.vn,2005-05-19,1,036084699478,0912804711
20230232,TRẦN THỊ MINH HẰNG,Nu,IT-EP-K68-05,hang.ttm230232@sis.hust.edu.vn,2005-10-29,1,531981485459,0927576612
20230233,LÊ THANH HÀO,Nam,IT-EP-K68-04,hao.lt230233@sis.hust.edu.vn,2005-12-24,1,782886205038,0908713267
20230234,NGUYỄN THỊ HIÊN,Nu,IT-EP-K68-04,hien.nt230234@sis.hust.edu.vn,2005-11-17,1,087004803202,0917362601
20230235,ĐẶNG THỊ THANH HIỀN,Nu,IT-EP-K68-04,hien.dtt230235@sis.hust.edu.vn,2005-07-10,1,607115692093,0951470044
20230236,NGỌ THỊ THU HIỀN,Nu,IT-EP-K68-04,hien.ntt230236@sis.hust.edu.vn,2005-04-28,1,752155197553,0921667467
20230237,TRẦN THỊ THU HIỀN,Nu,IT-EP-K68-05,hien.ttt230237@sis.hust.edu.vn,2005-01-22,1,826907801280,0948451501
20230238,TRẦN MINH HIẾU,Nam,IT-EP-K68-05,hieu.tm230238@sis.hust.edu.vn,2005-06-10,1,941851722953,0925571358
20230239,NGUYỄN KHÁNH HÒA,Nu,IT-EP-K68-04,hoa.nk230239@sis.hust.edu.vn,2005-08-17,1,453012801197,0949792327
20230240,NGUYỄN THỊ HIỀN HÒA,Nu,IT-EP-K68-04,hoa.nth230240@sis.hust.edu.vn,2005-04-23,1,130577992769,0915912017
20230242,PHẠM VIỆT HOÀNG,Nam,IT-EP-K68-05,hoang.pv230242@sis.hust.edu.vn,2005-08-09,1,403866928446,0954197414
20230243,THÂN ĐỨC HOÀNG,Nam,IT-EP-K68-05,hoang.td230243@sis.hust.edu.vn,2005-11-11,1,498269982168,0986542749
20230244,TRẦN ĐINH ĐÌNH HOÀNG,Nam,IT-EP-K68-05,hoang.tdd230244@sis.hust.edu.vn,2005-06-03,1,832327581785,0956535544
20230245,BÙI ĐỨC HÙNG,Nam,IT-EP-K68-04,hung.bd230245@sis.hust.edu.vn,2005-06-14,1,329794491017,0995290616
20230247,TRẦN VIỆT HÙNG,Nam,IT-EP-K68-05,hung.tv230247@sis.hust.edu.vn,2005-02-14,1,775147369853,0901701839
20230248,LÒ THỊ HƯƠNG,Nu,IT-EP-K68-04,huong.lt230248@sis.hust.edu.vn,2005-07-04,1,759649884663,0974719427
20230249,ĐẶNG NGỌC HUYỀN,Nu,IT-EP-K68-04,huyen.dn230249@sis.hust.edu.vn,2005-08-06,1,457021756523,0904352598
20230252,ĐỖ KẾ PHÚC KHANG,Nam,IT-EP-K68-04,khang.dkp230252@sis.hust.edu.vn,2005-10-11,1,846564688576,0910224551
20230254,PHẠM GIA KHIÊM,Nam,IT-EP-K68-04,khiem.pg230254@sis.hust.edu.vn,2005-07-13,1,971533550854,0955093123
20230255,PHẠM TRUNG KIÊN,Nam,IT-EP-K68-04,kien.pt230255@sis.hust.edu.vn,2005-12-02,1,840055545643,0954748405
20230256,PHÙNG THÚY LÊ,Nu,IT-EP-K68-05,le.pt230256@sis.hust.edu.vn,2005-01-08,1,217253686131,0944381628
20230257,TRIỆU THỊ LÊ,Nu,IT-EP-K68-05,le.tt230257@sis.hust.edu.vn,2005-06-15,1,567320402308,0950515318
20230258,ĐỖ PHƯƠNG LINH,Nu,IT-EP-K68-04,linh.dp230258@sis.hust.edu.vn,2005-12-25,1,823804745286,0960356420
20230259,LÊ KHÁNH LINH,Nu,IT-EP-K68-04,linh.lk230259@sis.hust.edu.vn,2005-11-09,1,546406816268,0992134149
20230260,NGUYỄN NGỌC LINH,Nu,IT-EP-K68-04,linh.nn230260@sis.hust.edu.vn,2005-03-31,1,967487078129,0907341092
20230261,NGUYỄN THỊ DIỆU LINH,Nu,IT-EP-K68-04,linh.ntd230261@sis.hust.edu.vn,2005-04-10,1,464593414649,0910273433
20230262,NGUYỄN THỊ KHÁNH LINH,Nu,IT-EP-K68-04,linh.ntk230262@sis.hust.edu.vn,2005-04-18,1,119891451783,0929125429
20230263,PHẠM HƯƠNG THẢO LINH,Nu,IT-EP-K68-04,linh.pht230263@sis.hust.edu.vn,2005-09-17,1,096597128637,0960922280
20230264,NGUYỄN TIẾN LỢI,Nam,IT-EP-K68-04,loi.nt230264@sis.hust.edu.vn,2005-04-29,1,756322654668,0995394489
20230266,LẠI THANH MAI,Nu,IT-EP-K68-04,mai.lt230266@sis.hust.edu.vn,2005-07-02,1,500756557565,0964194812
20230267,NGUYỄN THỊ NGỌC MAI,Nu,IT-EP-K68-04,mai.ntn230267@sis.hust.edu.vn,2005-06-27,1,707470978337,0961151055
20230268,TRẦN THỊ XUÂN MAI,Nu,IT-EP-K68-05,mai.ttx230268@sis.hust.edu.vn,2005-03-02,1,935139846927,0984116761
20230269,PHẠM TRỌNG MẠNH,Nam,IT-EP-K68-04,manh.pt230269@sis.hust.edu.vn,2005-03-08,1,400418563187,0947859000
20230271,ĐÀO THỊ HẢI NGÂN,Nu,IT-EP-K68-04,ngan.dth230271@sis.hust.edu.vn,2005-08-04,1,191694354816,0952270179
20230272,LÊ MINH NGỌC,Nu,IT-EP-K68-04,ngoc.lm230272@sis.hust.edu.vn,2005-09-09,1,038425949437,0962402438
20230273,NGUYỄN THỊ NGỌC,Nu,IT-EP-K68-04,ngoc.nt230273@sis.hust.edu.vn,2005-12-29,1,004844122570,0915214747
20230274,ĐỒNG HỮU NGUYÊN,Nam,IT-EP-K68-05,nguyen.dh230274@sis.hust.edu.vn,2005-09-07,1,746205060506,0927458289
20230276,NGÔ THỊ HỒNG NHUNG,Nu,IT-EP-K68-05,nhung.nth230276@sis.hust.edu.vn,2005-07-01,1,134299323087,0984774796
20230277,LÊ NIN,Nam,IT-EP-K68-05,nin.l230277@sis.hust.edu.vn,2005-07-18,1,835841870713,0963596549
20230278,NGUYỄN THU PHƯƠNG,Nu,IT-EP-K68-05,phuong.nt230278@sis.hust.edu.vn,2005-06-13,1,672301912375,0945361309
20230279,TRẦN THỊ THU PHƯƠNG,Nu,IT-EP-K68-05,phuong.ttt230279@sis.hust.edu.vn,2005-10-11,1,251159775304,0989495961
20230280,NGUYỄN VĂN QUÝ,Nam,IT-EP-K68-05,quy.nv230280@sis.hust.edu.vn,2005-08-16,1,721318796017,0992171515
20230283,PHÙNG THỊ NHƯ QUỲNH,Nu,IT-EP-K68-05,quynh.ptn230283@sis.hust.edu.vn,2005-09-17,1,444619423192,0945795167
20230284,BÙI HỒNG SƠN,Nam,IT-EP-K68-05,son.bh230284@sis.hust.edu.vn,2005-04-13,1,955900153104,0940564576
20230285,TRẦN QUỐC THẮNG,Nam,IT-EP-K68-05,thang.tq230285@sis.hust.edu.vn,2005-08-15,1,160528376847,0958570463
20230286,ĐỖ XUÂN THANH,Nam,IT-EP-K68-05,thanh.dx230286@sis.hust.edu.vn,2003-01-18,1,446938058777,0947757642
20230291,ĐINH HẢI THUẬN,Nam,IT-EP-K68-05,thuan.dh230291@sis.hust.edu.vn,2005-08-15,1,047068001746,0980261075
20230292,PHẠM THỊ HOÀI THƯƠNG,Nu,IT-EP-K68-05,thuong.pth230292@sis.hust.edu.vn,2005-09-15,1,871849780782,0995141668
20230293,LƯƠNG THỊ NGỌC THÚY,Nu,IT-EP-K68-05,thuy.ltn230293@sis.hust.edu.vn,2005-10-19,1,141534095761,0985342046
20230294,THÂN THỊ THANH THÚY,Nu,IT-EP-K68-05,thuy.ttt230294@sis.hust.edu.vn,2005-05-01,1,842500069031,0965223898
20230296,TRẦN NHẬT THỦY,Nu,IT-EP-K68-05,thuy.tn230296@sis.hust.edu.vn,2005-12-28,1,733694726353,0971175672
20230297,NGUYỄN LÂM NHẬT TIẾN,Nam,IT-EP-K68-05,tien.nln230297@sis.hust.edu.vn,2005-03-15,1,357699456026,0965322714
20230298,NGUYỄN THU TRANG,Nu,IT-EP-K68-05,trang.nt230298@sis.hust.edu.vn,2005-01-19,1,193037403927,0900550560
20230299,PHẠM THỊ HUYỀN TRANG,Nu,IT-EP-K68-05,trang.pth230299@sis.hust.edu.vn,2005-01-09,1,448415846981,0922556244
20230300,TRẦN THỊ THÙY TRANG,Nu,IT-EP-K68-05,trang.ttt230300@sis.hust.edu.vn,2005-02-19,1,782564733906,0923613635
20230303,LÊ NGỌC TUẤN,Nam,IT-EP-K68-05,tuan.ln230303@sis.hust.edu.vn,2005-08-04,1,832987597987,0945652895
20230304,NGÔ THANH TÙNG,Nam,IT-EP-K68-05,tung.nt230304@sis.hust.edu.vn,2005-04-19,1,783682033218,0954882331
20230306,PHÙNG MINH VŨ,Nam,IT-EP-K68-05,vu.pm230306@sis.hust.edu.vn,2005-09-05,1,393070525855,0931888270
20230307,LÊ HẢI YẾN,Nu,IT-EP-K68-05,yen.lh230307@sis.hust.edu.vn,2005-10-29,1,415201968900,0911936176
20230308,ĐẶNG THÁI AN,Nam,IT-EP-K68-05,an.dt230308@sis.hust.edu.vn,2005-11-10,1,351202953002,0939792949
20230309,NGUYỄN KIM THÁI AN,Nam,IT-EP-K68-05,an.nkt230309@sis.hust.edu.vn,2005-11-25,1,936038663551,0948640485
20230311,NGUYỄN THÀNH AN,Nam,IT-EP-K68-05,an.nt230311@sis.hust.edu.vn,2005-06-12,1,623908307053,0966032700
20230315,HOÀNG NGỌC ANH,Nu,IT-E7-K68-03,anh.hn230315@sis.hust.edu.vn,2005-04-22,1,429910138649,0916856970
20230316,MA HOÀNG ANH,Nam,IT-E7-K68-03,anh.mh230316@sis.hust.edu.vn,2005-02-13,1,553118147471,0925988164
20230319,NGUYỄN THỊ LAN ANH,Nu,IT-E7-K68-03,anh.ntl230319@sis.hust.edu.vn,2005-06-23,1,640053830705,0942062423
20230322,NGUYỄN THỊ QUỲNH ANH,Nu,IT-E7-K68-03,anh.ntq230322@sis.hust.edu.vn,2005-07-26,1,182959732769,0965292597
20230323,PHẠM ĐỨC ANH,Nam,IT-E7-K68-04,anh.pd230323@sis.hust.edu.vn,2005-06-25,1,715750722881,0961997571
20230325,PHẠM PHÚC HOÀNG ANH,Nam,IT-E7-K68-04,anh.pph230325@sis.hust.edu.vn,2005-07-10,1,952626416415,0990320498
20230327,PHÙNG THỊ HỒNG ANH,Nu,IT-E7-K68-04,anh.pth230327@sis.hust.edu.vn,2005-01-06,1,658145682567,0958111350
20230328,TỐNG NGỌC ANH,Nu,IT-E7-K68-04,anh.tn230328@sis.hust.edu.vn,2005-12-20,1,931130497652,0991231201
20230330,TRẦN PHƯƠNG ANH,Nu,IT-E7-K68-04,anh.tp230330@sis.hust.edu.vn,2005-04-11,1,768168588884,0910390694
20230331,TRỊNH HẢI ANH,Nu,IT-E7-K68-04,anh.th230331@sis.hust.edu.vn,2005-12-01,1,215028986535,0976342412
20230332,DƯƠNG THỊ NGỌC ÁNH,Nu,IT-E7-K68-03,anh.dtn230332@sis.hust.edu.vn,2005-11-08,1,172033720809,0956989624
20230333,TRẦN VŨ NGỌC ÁNH,Nu,IT-E7-K68-04,anh.tvn230333@sis.hust.edu.vn,2005-02-13,1,333380093177,0995721176
20230335,NGUYỄN GIA BÁCH,Nam,IT-E7-K68-03,bach.ng230335@sis.hust.edu.vn,2005-06-04,1,785918559679,0905795754
20230336,ĐOÀN GIA BẢO,Nam,IT-E7-K68-03,bao.dg230336@sis.hust.edu.vn,2005-05-18,1,932032071922,0948628775
20230337,NÔNG GIA BẢO,Nam,IT-E7-K68-04,bao.ng230337@sis.hust.edu.vn,2005-12-28,1,635342606003,0971784978
20230338,NGUYỄN NGỌC BÍCH,Nu,IT-E7-K68-03,bich.nn230338@sis.hust.edu.vn,2005-01-06,1,683221143375,0926255638
20230339,CHU NINH BÌNH,Nam,IT-E7-K68-03,binh.cn230339@sis.hust.edu.vn,2005-02-18,1,263118546701,0952792359
20230343,TRẦN HÀ CHI,Nu,IT-E7-K68-04,chi.th230343@sis.hust.edu.vn,2005-08-27,1,850262373546,0966754110
20230345,NGUYỄN TRỌNG CHÍNH,Nam,IT-E7-K68-03,chinh.nt230345@sis.hust.edu.vn,2005-03-03,1,786918453673,0993196897
20230346,NGUYỄN HỒNG ĐĂNG,Nam,IT-E7-K68-03,dang.nh230346@sis.hust.edu.vn,2005-07-03,1,299089534486,0969954078
20230347,LÝ CÔNG ĐẠT,Nam,IT-E7-K68-03,dat.lc230347@sis.hust.edu.vn,2005-11-27,1,600435348786,0990355442
20230349,NGUYỄN THÀNH ĐẠT,Nam,IT-E7-K68-03,dat.nt230349@sis.hust.edu.vn,2005-02-12,1,716466093171,0987166723
20230351,MA THỊ PÀNG DÍNH,Nu,IT-E7-K68-03,dinh.mtp230351@sis.hust.edu.vn,2005-02-21,1,208937907786,0942968787
20230352,NGUYỄN QUANG DU,Nam,IT-E7-K68-03,du.nq230352@sis.hust.edu.vn,2005-05-04,1,521625685991,0931906483
20230354,ĐỖ ANH ĐỨC,Nam,IT-E7-K68-03,duc.da230354@sis.hust.edu.vn,2005-12-05,1,030447140364,0919504123
20230355,LÊ XUÂN ANH ĐỨC,Nam,IT-E7-K68-03,duc.lxa230355@sis.hust.edu.vn,2005-01-18,1,883864769603,0983420018
20230359,NGUYỄN THÙY DUNG,Nu,IT-E7-K68-03,dung.nt230359@sis.hust.edu.vn,2005-08-17,1,519406635797,0909443266
20230361,NGUYỄN XUÂN DŨNG,Nam,IT-E7-K68-03,dung.nx230361@sis.hust.edu.vn,2005-09-09,1,913943430328,0928641919
20230363,CAO TÙNG DƯƠNG,Nam,IT-E7-K68-03,duong.ct230363@sis.hust.edu.vn,2005-09-27,1,690265730666,0959207108
20230364,NGUYỄN BẢO DUY,Nam,IT-E7-K68-03,duy.nb230364@sis.hust.edu.vn,2005-11-04,1,889558286303,0967157819
20230365,NGUYỄN TRƯƠNG DUY,Nam,IT-E7-K68-03,duy.nt230365@sis.hust.edu.vn,2005-04-15,1,689216140368,0943134615
